"","temp","year"
"1546",56.1,2014
"1553",64.2,2014
"1554",75.5,2014
"1574",46.3,2014
"1576",50.9,2014
"1580",62.7,2014
"1597",67.2,2014
"1603",53.1,2014
"1615",47.6,2014
"1626",57,2014
"1636",72.5,2014
"1638",73.6,2014
"1645",71.2,2014
"1655",77.4,2014
"1704",73.1,2014
"1705",71.6,2014
"1710",66.1,2014
"1712",80.1,2014
"1722",63.3,2014
"1741",66.6,2014
"1762",73.5,2014
"1764",75.7,2014
"1772",68.9,2014
"1788",68.6,2014
"1790",70.8,2014
"1798",74,2014
"1807",64.9,2014
"1814",65.9,2014
"1846",68.3,2014
"1849",69.6,2014
"1875",78.7,2014
"1878",76.5,2014
"1895",80.4,2014
"1921",64.2,2014
"1929",67,2014
"1954",65.3,2014
"1959",75.1,2014
"1966",84.8,2014
"1971",79.7,2014
"1980",81.3,2014
"1982",71.3,2014
"1985",77.6,2014
"1992",78.1,2014
"2030",74.8,2014
"2039",73.1,2014
"2061",73.5,2014
"2080",70.1,2014
"2127",68.1,2014
"2142",75.5,2014
"2147",71.3,2014
"2150",69.3,2014
"2156",72.1,2014
"2158",77.9,2014
"2159",64.7,2014
"2187",72,2014
"2199",73,2014
"2202",64.4,2014
"2203",69.2,2014
"2205",74.4,2014
"2210",73.4,2014
"2211",64.8,2014
"2223",67.7,2014
"2239",70.1,2014
"2248",68.3,2014
"2272",78.9,2014
"2277",81.1,2014
"2278",77.7,2014
"2296",75.3,2014
"2302",76.6,2014
"2312",81.5,2014
"2318",73.4,2014
"2319",68,2014
"2323",79.2,2014
"2385",78.3,2014
"2407",73.6,2014
"2412",75.1,2014
"2415",72.5,2014
"2435",66.9,2014
"2436",79.1,2014
"2439",72.9,2014
"2447",72.6,2014
"2457",77.5,2014
"2461",78.1,2014
"2462",72.4,2014
"2468",75.4,2014
"2471",76.8,2014
"2505",74.4,2014
"2510",73.2,2014
"2520",77.7,2014
"2530",69.9,2014
"2533",78.2,2014
"2534",76.5,2014
"2543",68.9,2014
"2546",71.7,2014
"2568",75.6,2014
"2590",78.9,2014
"2598",75.3,2014
"2604",77.1,2014
"2644",67.8,2014
"2648",75.1,2014
"2652",79.5,2014
"2664",78.3,2014
"2674",81.3,2014
"2705",66.8,2014
"2718",68.9,2014
"2721",61.8,2014
"2725",60.6,2014
"2737",69.6,2014
"2738",65.5,2014
"2744",57.5,2014
