"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","NUM_CRIMES"
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,65.6,999.9,0.528205128205128
"178",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2011,80.9,999.9,0.765811965811966
"179",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,80,999.9,0.723076923076923
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,80.5,999.9,0.842735042735043
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,82.2,999.9,0.676923076923077
"182",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,79.7,999.9,0.717948717948718
"183",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,82.6,999.9,0.817094017094017
"184",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,80,999.9,0.769230769230769
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,83.2,999.9,0.72991452991453
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,74,999.9,0.717948717948718
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,75.6,999.9,0.642735042735043
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,77.3,999.9,0.916239316239316
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,80.2,999.9,0.745299145299145
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,77.4,999.9,0.564102564102564
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,86.2,999.9,0.711111111111111
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,77.7,999.9,0.646153846153846
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,84,999.9,0.664957264957265
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,71.8,999.9,0.712820512820513
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,78.3,999.9,0.65982905982906
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,78.4,999.9,0.699145299145299
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,90.8,999.9,0.611965811965812
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,77.6,999.9,0.753846153846154
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,79.7,999.9,0.705982905982906
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,71.7,999.9,0.794871794871795
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,81.1,999.9,0.741880341880342
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,86.5,999.9,0.68034188034188
"203",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,79,999.9,0.594871794871795
"204",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,87.2,999.9,0.625641025641026
"205",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,80.5,999.9,0.747008547008547
"206",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,78.9,999.9,0.658119658119658
"207",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,83.4,999.9,0.811965811965812
"208",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,75.7,999.9,0.818803418803419
"209",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,81.8,999.9,0.747008547008547
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,73.6,999.9,0.512820512820513
"211",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,71.6,999.9,0.629059829059829
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,83.4,999.9,1
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,70.1,999.9,0.651282051282051
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,71.3,999.9,0.683760683760684
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,71.2,999.9,0.67008547008547
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,69.6,999.9,0.652991452991453
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,77.1,999.9,0.716239316239316
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,74.9,999.9,0.647863247863248
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,71.6,999.9,0.678632478632479
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,77.1,999.9,0.842735042735043
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,76.6,999.9,0.882051282051282
"222",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,78.5,999.9,0.776068376068376
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,75.9,999.9,0.842735042735043
